"no.","latin name","polish name","category","status"
"1","Oxyura leucocephala","sterniczka","A","Z"
"2","Cygnus olor","łabędź niemy","A","L"
"3","Cygnus columbianus","łabędź czarnodzioby","A","P"
"4","Cygnus cygnus","łabędź krzykliwy","A","L"
"5","Branta bernicla","bernikla obrożna","A","P"
"6","Branta leucopsis","bernikla białolica","A","P"
"7","Branta ruficollis","bernikla rdzawoszyja","A","P"
"8","Branta canadensis","bernikla kanadyjska","C","l P"
"9","Anser anser","gęgawa","A","L"
"10","Anser fabalis","gęś zbożowa","A","P"
"11","Anser serrirostris","gęś tundrowa","A","P"
"12","Anser brachyrhynchus","gęś krótkodzioba","A","P"
"13","Anser albifrons","gęś białoczelna","A","P"
"14","Anser erythropus","gęś mała","A","P"
"15","Clangula hyemalis","lodówka","A","P"
"16","Somateria spectabilis","turkan","A","Z"
"17","Somateria mollissima","edredon","A","l P"
"18","Polysticta stelleri","birginiak","A","Z"
"19","Melanitta fusca","uhla","A","P"
"20","Melanitta stejnegeri","uhla azjatycka","A","Z"
"21","Melanitta nigra","markaczka","A","P"
"22","Melanitta americana","markaczka amerykańska","A","Z"
"23","Bucephala clangula","gągoł","A","L"
"24","Mergellus albellus","bielaczek","A","P"
"25","Mergus merganser","nurogęś","A","L"
"26","Mergus serrator","szlachar","A","(l) P"
"27","Histrionicus histrionicus","kamieniuszka","A","z"
"28","Alopochen aegyptiaca","gęsiówka egipska","C","l P"
"29","Tadorna tadorna","ohar","A","L"
"30","Tadorna ferruginea","kazarka rdzawa","A","(l) P"
"31","Netta rufina","hełmiatka","A","l P"
"32","Aythya ferina","głowienka","A","L"
"33","Aythya nyroca","podgorzałka","A","L"
"34","Aythya collaris","czerniczka","A","Z"
"35","Aythya fuligula","czernica","A","L"
"36","Aythya marila","ogorzałka","A","(l) P"
"37","Aythya affinis","ogorzałka mała","A","z"
"38","Sibirionetta formosa","bajkałówka","A","z"
"39","Spatula querquedula","cyranka","A","L"
"40","Spatula clypeata","płaskonos","A","L"
"41","Spatula discors","cyranka modroskrzydła","A","z"
"42","Mareca strepera","krakwa","A","L"
"43","Mareca penelope","świstun","A","l P"
"44","Mareca americana","świstun amerykański","A","Z"
"45","Anas platyrhynchos","krzyżówka","A","L"
"46","Anas acuta","rożeniec","A","l P"
"47","Anas crecca","cyraneczka","A","L"
"48","Anas carolinensis","cyraneczka karolińska","A","Z"
"49","Aix galericulata","mandarynka","C","l P"
"50","Coturnix coturnix","przepiórka","A","L"
"51","Phasianus colchicus","bażant","C","L"
"52","Perdix perdix","kuropatwa","A","L"
"53","Tetrastes bonasia","jarząbek","A","L"
"54","Lagopus lagopus","pardwa mszarna","B","(z)"
"55","Tetrao urogallus","głuszec","A","L"
"56","Lyrurus tetrix","cietrzew","A","L"
"57","Phoenicopterus roseus","flaming różowy","A","Z"
"58","Podilymbus podiceps","perkoz grubodzioby","A","z"
"59","Tachybaptus ruficollis","perkozek","A","L"
"60","Podiceps grisegena","perkoz rdzawoszyi","A","L"
"61","Podiceps cristatus","perkoz dwuczuby","A","L"
"62","Podiceps auritus","perkoz rogaty","A","(l) P"
"63","Podiceps nigricollis","zausznik","A","L"
"64","Columba livia forma urbana","gołąb miejski","C","L"
"65","Columba oenas","siniak","A","L"
"66","Columba palumbus","grzywacz","A","L"
"67","Streptopelia turtur","turkawka","A","L"
"68","Streptopelia orientalis","turkawka wschodnia","A","z"
"69","Streptopelia decaocto","sierpówka","A","L"
"70","Syrrhaptes paradoxus","pustynnik","A","(l) Z"
"71","Caprimulgus europaeus","lelek","A","L"
"72","Tachymarptis melba","jerzyk alpejski","A","Z"
"73","Apus pallidus","jerzyk blady","A","Z"
"74","Apus apus","jerzyk","A","L"
"75","Cuculus canorus","kukułka","A","L"
"76","Rallus aquaticus","wodnik","A","L"
"77","Crex crex","derkacz","A","L"
"78","Porzana porzana","kropiatka","A","L"
"79","Zapornia parva","zielonka","A","L"
"80","Zapornia pusilla","karliczka","A","l Z"
"81","Gallinula chloropus","kokoszka","A","L"
"82","Fulica atra","łyska","A","L"
"83","Grus virgo","żuraw stepowy","A","z"
"84","Grus grus","żuraw","A","L"
"85","Tetrax tetrax","strepet","A","(l) Z"
"86","Otis tarda","drop","A","(l) Z"
"87","Chlamydotis macqueenii","hubara arabska","A","z"
"88","Burhinus oedicnemus","kulon","A","(l) Z"
"89","Haematopus ostralegus","ostrygojad","A","l P"
"90","Himantopus himantopus","szczudłak","A","l P"
"91","Recurvirostra avosetta","szablodziób","A","l P"
"92","Pluvialis squatarola","siewnica","A","P"
"93","Pluvialis apricaria","siewka złota","A","(l) P"
"94","Pluvialis fulva","siewka złotawa","A","Z"
"95","Pluvialis dominica","siewka szara","A","z"
"96","Eudromias morinellus","mornel","A","(l) P"
"97","Charadrius hiaticula","sieweczka obrożna","A","L"
"98","Charadrius dubius","sieweczka rzeczna","A","L"
"99","Vanellus vanellus","czajka","A","L"
"100","Vanellus spinosus","czajka szponiasta","A","z"
"101","Vanellus gregarius","czajka towarzyska","A","Z"
"102","Vanellus leucurus","czajka stepowa","A","Z"
"103","Anarhynchus asiaticus","sieweczka długonoga","A","z"
"104","Anarhynchus atrifrons","sieweczka tybetańska","A","z"
"105","Anarhynchus leschenaultii","sieweczka pustynna","A","Z"
"106","Anarhynchus alexandrinus","sieweczka morska","A","l Z"
"107","Numenius phaeopus","kulik mniejszy","A","P"
"108","Numenius tenuirostris","kulik cienkodzioby","A","z"
"109","Numenius arquata","kulik wielki","A","L"
"110","Limosa lapponica","szlamnik","A","P"
"111","Limosa limosa","rycyk","A","L"
"112","Arenaria interpres","kamusznik","A","P"
"113","Calidris tenuirostris","biegus wielki","A","z"
"114","Calidris canutus","biegus rdzawy","A","P"
"115","Calidris pugnax","batalion","A","l P"
"116","Calidris falcinellus","biegus płaskodzioby","A","P"
"117","Calidris acuminata","biegus ostrosterny","A","z"
"118","Calidris ferruginea","biegus krzywodzioby","A","P"
"119","Calidris temminckii","biegus mały","A","P"
"120","Calidris alba","piaskowiec","A","P"
"121","Calidris alpina","biegus zmienny","A","(l) P"
"122","Calidris maritima","biegus morski","A","Z"
"123","Calidris bairdii","biegus długoskrzydły","A","z"
"124","Calidris minuta","biegus malutki","A","P"
"125","Calidris minutilla","biegus karłowaty","A","z"
"126","Calidris fuscicollis","biegus białorzytny","A","Z"
"127","Calidris subruficollis","biegus płowy","A","Z"
"128","Calidris melanotos","biegus arktyczny","A","Z"
"129","Calidris pusilla","biegus tundrowy","A","z"
"130","Limnodromus scolopaceus","szlamiec długodzioby","A","z"
"131","Scolopax rusticola","słonka","A","L"
"132","Gallinago media","dubelt","A","L"
"133","Gallinago gallinago","kszyk","A","L"
"134","Lymnocryptes minimus","bekasik","A","(l) P"
"135","Xenus cinereus","terekia","A","Z"
"136","Actitis hypoleucos","brodziec piskliwy","A","L"
"137","Actitis macularius","brodziec plamisty","A","Z"
"138","Tringa ochropus","samotnik","A","L"
"139","Tringa flavipes","brodziec żółtonogi","A","z"
"140","Tringa erythropus","brodziec śniady","A","P"
"141","Tringa nebularia","kwokacz","A","P"
"142","Tringa melanoleuca","brodziec piegowaty","A","z"
"143","Tringa totanus","krwawodziób","A","L"
"144","Tringa glareola","łęczak","A","l P"
"145","Tringa stagnatilis","brodziec pławny","A","l P"
"146","Phalaropus lobatus","płatkonóg szydłodzioby","A","P"
"147","Phalaropus fulicarius","płatkonóg płaskodzioby","A","Z"
"148","Glareola pratincola","żwirowiec łąkowy","A","Z"
"149","Glareola nordmanni","żwirowiec stepowy","A","Z"
"150","Fratercula arctica","maskonur","A","Z"
"151","Cepphus grylle","nurnik","A","P"
"152","Alca torda","alka","A","P"
"153","Alle alle","alczyk","A","Z"
"154","Uria lomvia","nurzyk polarny","A","z"
"155","Uria aalge","nurzyk","A","P"
"156","Stercorarius longicaudus","wydrzyk długosterny","A","Z"
"157","Stercorarius parasiticus","wydrzyk ostrosterny","A","P"
"158","Stercorarius pomarinus","wydrzyk tęposterny","A","Z"
"159","Stercorarius skua","wydrzyk wielki","A","Z"
"160","Pagophila eburnea","mewa modrodzioba","A","z"
"161","Xema sabini","mewa obrożna","A","Z"
"162","Rissa tridactyla","mewa trójpalczasta","A","P"
"163","Chroicocephalus genei","mewa cienkodzioba","A","Z"
"164","Chroicocephalus ridibundus","śmieszka","A","L"
"165","Hydrocoloeus minutus","mewa mała","A","(l) P"
"166","Rhodostethia rosea","mewa różowa","A","z"
"167","Leucophaeus atricilla","mewa karaibska","A","z"
"168","Ichthyaetus audouinii","mewa śródziemnomorska","A","z"
"169","Ichthyaetus melanocephalus","mewa czarnogłowa","A","l P"
"170","Ichthyaetus ichthyaetus","orlica","A","Z"
"171","Larus canus","mewa siwa","A","L"
"172","Larus delawarensis","mewa delawarska","A","Z"
"173","Larus fuscus","mewa żółtonoga","A","l P"
"174","Larus argentatus","mewa srebrzysta","A","L"
"175","Larus smithsonianus","mewa popielata","A","z"
"176","Larus michahellis","mewa romańska","A","l P"
"177","Larus cachinnans","mewa białogłowa","A","L"
"178","Larus hyperboreus","mewa blada","A","Z"
"179","Larus glaucoides","mewa polarna","A","Z"
"180","Larus schistisagus","mewa ochocka","A","z"
"181","Larus marinus","mewa siodłata","A","P"
"182","Gelochelidon nilotica","rybitwa krótkodzioba","A","Z"
"183","Hydroprogne caspia","rybitwa wielkodzioba","A","P"
"184","Thalasseus sandvicensis","rybitwa czubata","A","L"
"185","Sterna dougallii","rybitwa różowa","A","z"
"186","Sterna hirundo","rybitwa rzeczna","A","L"
"187","Sterna paradisaea","rybitwa popielata","A","(l) P"
"188","Sternula albifrons","rybitwa białoczelna","A","L"
"189","Chlidonias hybrida","rybitwa białowąsa","A","L"
"190","Chlidonias niger","rybitwa czarna","A","L"
"191","Chlidonias leucopterus","rybitwa białoskrzydła","A","L"
"192","Gavia stellata","nur rdzawoszyi","A","P"
"193","Gavia arctica","nur czarnoszyi","A","(l) P"
"194","Gavia pacifica","nur pacyficzny","A","z"
"195","Gavia immer","lodowiec","A","Z"
"196","Gavia adamsii","nur białodzioby","A","Z"
"197","Oceanites oceanicus","oceannik żółtopłetwy","A","z"
"198","Hydrobates pelagicus","nawałnik burzowy","A","Z"
"199","Hydrobates leucorhous","nawałnik duży","A","Z"
"200","Fulmarus glacialis","fulmar","A","Z"
"201","Calonectris diomedea","burzyk żółtodzioby","A","z"
"202","Ardenna grisea","burzyk szary","A","Z"
"203","Puffinus puffinus","burzyk północny","A","z"
"204","Puffinus mauretanicus","burzyk balearski","A","z"
"205","Ciconia nigra","bocian czarny","A","L"
"206","Ciconia ciconia","bocian biały","A","L"
"207","Pelecanus onocrotalus","pelikan różowy","A","Z"
"208","Pelecanus crispus","pelikan kędzierzawy","A","Z"
"209","Botaurus stellaris","bąk","A","L"
"210","Ixobrychus minutus","bączek","A","L"
"211","Nycticorax nycticorax","ślepowron","A","L"
"212","Ardeola ralloides","czapla modronosa","A","Z"
"213","Bubulcus ibis","czapla złotawa","A","Z"
"214","Ardea cinerea","czapla siwa","A","L"
"215","Ardea purpurea","czapla purpurowa","A","l P"
"216","Ardea alba","czapla biała","A","L"
"217","Egretta garzetta","czapla nadobna","A","l P"
"218","Platalea leucorodia","warzęcha","A","Z"
"219","Plegadis falcinellus","ibis kasztanowaty","A","Z"
"220","Morus bassanus","głuptak","A","Z"
"221","Sula leucogaster","głuptak białobrzuchy","A","z"
"222","Microcarbo pygmeus","kormoran mały","A","Z"
"223","Gulosus aristotelis","kormoran czubaty","A","z"
"224","Phalacrocorax carbo","kormoran","A","L"
"225","Pandion haliaetus","rybołów","A","l P"
"226","Elanus caeruleus","kaniuk","A","Z"
"227","Pernis apivorus","trzmielojad","A","L"
"228","Gypaetus barbatus","orłosęp","A","z"
"229","Neophron percnopterus","ścierwnik","A","Z"
"230","Circaetus gallicus","gadożer","A","l P"
"231","Gyps fulvus","sęp płowy","A","Z"
"232","Aegypius monachus","sęp kasztanowaty","A","Z"
