"latin name","polish name","english name","category","status"
"Dromaius novaehollandiae","emu","Emu","E","x"
"Dendrocygna bicolor","drzewica dwubarwna","Fulvous whistling duck","E","x"
"Dendrocygna arcuata","drzewica wędrowna","Wandering whistling duck","E","x"
"Oxyura jamaicensis","sterniczka jamajska","Ruddy duck","D","x"
"Coscoroba coscoroba","koskoroba","Coscoroba swan","E","x"
"Cygnus melancoryphus","łabędź czarnoszyi","Black-necked swan","E","x"
"Cygnus atratus","łabędź czarny","Black swan","E","x"
"Cygnus buccinator","łabędź trąbiący","Trumpeter swan","E","x"
"Anser indicus","gęś tybetańska","Bar-headed goose","D","[Z]"
"Anser caerulescens","śnieżyca duża","Snow goose","D","[Z]"
"Anser rossii","śnieżyca mała","Ross's goose","D","[Z]"
"Anser canagicus","śnieżyca cesarska","Emperor goose","E","x"
"Branta hutchinsii","bernikla północna","Cackling goose","D","[Z]"
"Bucephala albeola","gągołek","Bufflehead","D","[z]"
"Bucephala islandica","sierpiec","Barrow's goldeneye","D","[z]"
"Lophodytes cucullatus","kapturnik","Hooded merganser","D","[Z]"
"Tadorna radjah","kazarka nadobna","Radjah shelduck","E","x"
"Tadorna cana","kazarka szarogłowa","South African shelduck","E","x"
"Netta peposaca","hełmiatka różowodzioba","Rosy-billed pochard","E","x"
"Anas cyanoptera","cynamonka","Cinnamon teal","E","x"
"Anas falcata","czuprynka","Falcated duck","D","[z]"
"Anas zonorhyncha","kaczka chińska","Eastern spot-billed duck","E","x"
"Anas poecilorhyncha","kaczka pstrodzioba","Indian spot-billed duck","E","x"
"Anas sibilatrix","świstun chilijski","Chiloé wigeon","E","x"
"Anas castanea","cyraneczka kasztanowata","Chestnut teal","E","x"
"Anas bahamensis","rożeniec białolicy","White-cheeked pintail","E","x"
"Anas flavirostris","cyraneczka żółtodzioba","Yellow-billed teal","E","x"
"Aix sponsa","karolinka","Wood duck","E","x"
"Oressochen melanopterus","grzywoszyjka andyjska","Andean goose","E","x"
"Chenonetta jubata","grzywienka","Australian wood duck","E","x"
"Callonetta leucophrys","cudokaczka","Ringed teal","E","x"
"Alectoris rufa","góropatwa czerwona","Red-legged partridge","E","x"
"Syrmaticus reevesii","bażant królewski","Reeves's pheasant","E","x"
"Chrysolophus pictus","bażant złocisty","Golden pheasant","E","x"
"Chrysolophus amherstiae","bażant diamentowy","Lady Amherst's pheasant","E","x"
"Lophura nycthemera","kiściec srebrzysty","Silver pheasant","E","x"
"Phoenicopterus ruber","flaming karmazynowy","American flamingo","E","x"
"Phoenicopterus minor","flaming mały","Lesser flamingo","E","x"
"Phoenicopterus chilensis","flaming chilijski","Chilean flamingo","E","x"
"Columba guinea","gołąb okularowy","Speckled pigeon","E","x"
"Streptopelia roseogrisea","cukrówka","African collared dove","E","x"
"Spilopelia senegalensis","synogarlica senegalska","Laughing dove","D","[z]"
"Oena capensis","turkaweczka czarnogardła","Namaqua dove","E","x"
"Geopelia cuneata","gołąbek diamentowy","Diamond dove","E","x"
"Porphyrio porphyrio","modrzyk","Western swamphen","D","[z]"
"Porphyrio poliocephalus","modrzyk siwogłowy","Grey-headed swamphen","E","x"
"Pluvianus aegyptius","pijawnik","Egyptian plover","E","x"
"Eudyptes chrysocome","pingwin skalny","Western rockhopper penguin","E","x"
"Mycteria ibis","dławigad afrykański","Yellow-billed stork","E","x"
"Ciconia abdimii","bocian białobrzuchy","Abdim's stork","E","x"
"Pelecanus rufescens","pelikan mały","Pink-backed pelican","E","x"
"Geronticus eremita","ibis grzywiasty","Northern bald ibis","E","x"
"Threskiornis aethiopicus","ibis czczony","African sacred ibis","E","x"
"Eudocimus ruber","ibis szkarłatny","Scarlet ibis","E","x"
"Platalea alba","warzęcha czerwonolica","African spoonbill","E","x"
"Cathartes aura","sępnik różowogłowy","Turkey vulture","E","x"
"Haliaeetus leucocephalus","bielik amerykański","Bald eagle","E","x"
"Haliaeetus pelagicus","bielik olbrzymi","Steller's sea eagle","E","x"
