"latin name","polish name","english name","category","status"
"Oxyura leucocephala","sterniczka","White-headed duck","A","Z"
"Cygnus olor","łabędź niemy","Mute swan","A","L"
"Cygnus columbianus","łabędź czarnodzioby","Tundra swan","A","P"
"Cygnus cygnus","łabędź krzykliwy","Whooper swan","A","L"
"Branta bernicla","bernikla obrożna","Brant","A","P"
"Branta leucopsis","bernikla białolica","Barnacle goose","A","P"
"Branta ruficollis","bernikla rdzawoszyja","Red-breasted goose","A","P"
"Branta canadensis","bernikla kanadyjska","Canada goose","C","l P"
"Anser anser","gęgawa","Greylag goose","A","L"
"Anser fabalis","gęś zbożowa","Taiga bean goose","A","P"
"Anser serrirostris","gęś tundrowa","Tundra bean goose","A","P"
"Anser brachyrhynchus","gęś krótkodzioba","Pink-footed goose","A","P"
"Anser albifrons","gęś białoczelna","Greater white-fronted goose","A","P"
"Anser erythropus","gęś mała","Lesser white-fronted goose","A","P"
"Clangula hyemalis","lodówka","Long-tailed duck","A","P"
"Somateria spectabilis","turkan","King eider","A","Z"
"Somateria mollissima","edredon","Common eider","A","l P"
"Polysticta stelleri","birginiak","Steller's eider","A","Z"
"Melanitta fusca","uhla","Velvet scoter","A","P"
"Melanitta stejnegeri","uhla azjatycka","Stejneger's scoter","A","Z"
"Melanitta nigra","markaczka","Common scoter","A","P"
"Melanitta americana","markaczka amerykańska","Black scoter","A","Z"
"Bucephala clangula","gągoł","Common goldeneye","A","L"
"Mergellus albellus","bielaczek","Smew","A","P"
"Mergus merganser","nurogęś","Common merganser","A","L"
"Mergus serrator","szlachar","Red-breasted merganser","A","(l) P"
"Histrionicus histrionicus","kamieniuszka","Harlequin duck","A","z"
"Alopochen aegyptiaca","gęsiówka egipska","Egyptian goose","C","l P"
"Tadorna tadorna","ohar","Common shelduck","A","L"
"Tadorna ferruginea","kazarka rdzawa","Ruddy shelduck","A","(l) P"
"Netta rufina","hełmiatka","Red-crested pochard","A","l P"
"Aythya ferina","głowienka","Common pochard","A","L"
"Aythya nyroca","podgorzałka","Ferruginous duck","A","L"
"Aythya collaris","czerniczka","Ring-necked duck","A","Z"
"Aythya fuligula","czernica","Tufted duck","A","L"
"Aythya marila","ogorzałka","Greater scaup","A","(l) P"
"Aythya affinis","ogorzałka mała","Lesser scaup","A","z"
"Sibirionetta formosa","bajkałówka","Baikal teal","A","z"
"Spatula querquedula","cyranka","Garganey","A","L"
"Spatula clypeata","płaskonos","Northern shoveler","A","L"
"Spatula discors","cyranka modroskrzydła","Blue-winged teal","A","z"
"Mareca strepera","krakwa","Gadwall","A","L"
"Mareca penelope","świstun","Eurasian wigeon","A","l P"
"Mareca americana","świstun amerykański","American wigeon","A","Z"
"Anas platyrhynchos","krzyżówka","Mallard","A","L"
"Anas acuta","rożeniec","Northern pintail","A","l P"
"Anas crecca","cyraneczka","Eurasian teal","A","L"
"Anas carolinensis","cyraneczka karolińska","Green-winged teal","A","Z"
"Aix galericulata","mandarynka","Mandarin duck","C","l P"
"Coturnix coturnix","przepiórka","Common quail","A","L"
"Phasianus colchicus","bażant","Common pheasant","C","L"
"Perdix perdix","kuropatwa","Grey partridge","A","L"
"Tetrastes bonasia","jarząbek","Hazel grouse","A","L"
"Lagopus lagopus","pardwa mszarna","Willow ptarmigan","B","(z)"
"Tetrao urogallus","głuszec","Western capercaillie","A","L"
"Lyrurus tetrix","cietrzew","Black grouse","A","L"
"Phoenicopterus roseus","flaming różowy","Greater flamingo","A","Z"
"Podilymbus podiceps","perkoz grubodzioby","Pied-billed grebe","A","z"
"Tachybaptus ruficollis","perkozek","Little grebe","A","L"
"Podiceps grisegena","perkoz rdzawoszyi","Red-necked grebe","A","L"
"Podiceps cristatus","perkoz dwuczuby","Great crested grebe","A","L"
"Podiceps auritus","perkoz rogaty","Horned grebe","A","(l) P"
"Podiceps nigricollis","zausznik","Black-necked grebe","A","L"
"Columba livia forma urbana","gołąb miejski","Feral pigeon","C","L"
"Columba oenas","siniak","Stock dove","A","L"
"Columba palumbus","grzywacz","Common wood pigeon","A","L"
"Streptopelia turtur","turkawka","European turtle dove","A","L"
"Streptopelia orientalis","turkawka wschodnia","Oriental turtle dove","A","z"
"Streptopelia decaocto","sierpówka","Eurasian collared dove","A","L"
"Syrrhaptes paradoxus","pustynnik","Pallas's sandgrouse","A","(l) Z"
"Caprimulgus europaeus","lelek","European nightjar","A","L"
"Tachymarptis melba","jerzyk alpejski","Alpine swift","A","Z"
"Apus pallidus","jerzyk blady","Pallid swift","A","Z"
"Apus apus","jerzyk","Common swift","A","L"
"Cuculus canorus","kukułka","Common cuckoo","A","L"
"Rallus aquaticus","wodnik","Water rail","A","L"
"Crex crex","derkacz","Corn crake","A","L"
"Porzana porzana","kropiatka","Spotted crake","A","L"
"Zapornia parva","zielonka","Little crake","A","L"
"Zapornia pusilla","karliczka","Baillon's crake","A","l Z"
"Gallinula chloropus","kokoszka","Common moorhen","A","L"
"Fulica atra","łyska","Eurasian coot","A","L"
