"category/status","-","description","","","","","","","","","","","","",""
"A","–","gatunki obserwowane w stanie dzikim przynajmniej raz od 01.01.1951 (pojaw naturalny)","","","","","","","","","","","","",""
"B","–","gatunki obserwowane w stanie dzikim w latach 1801-1950 (pojaw naturalny, status dawny)","","","","","","","","","","","","",""
"C","–","gatunki introdukowane przez człowieka rozmyślnie bądź przypadkowo, które utworzyły samodzielnie utrzymujące się populacje (pojaw wtórnie naturalny)","","","","","","","","","","","","",""
"D","–","gatunki co do których istnieją wątpliwości, czy kiedykolwiek pojawiały się w sposób naturalny (pochodzenie niepewne)","","","","","","","","","","","","",""
"E","–","gatunki pochodzące z niewoli, a także zawleczone lub introdukowane, które nie utworzyły samodzielnie utrzymujących się populacji (pojaw nienaturalny)","","","","","","","","","","","","",""
"Do awifauny krajowej zalicza się gatunki kategorii A, B i C (gatunki kategorii D i E – vide aneks)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Status gatunku w Polsce:","","","","","","","","","","","","","","",""
"L","–","aktualnie lęgowy (powyżej 100 par)","","","","","","","","","","","","",""
"l","–","aktualnie lęgowy (do 100 par)","","","","","","","","","","","","",""
"(l)","–","aktualnie nielęgowy (w latach 2008-2021)","","","","","","","","","","","","",""
"P","–","pojawiający się regularnie","","","","","","","","","","","","",""
"Z","–","zalatujący (pojawiający się rzadko – gatunek podlegający weryfikacji)","","","","","","","","","","","","",""
"z","–","zalatujący wyjątkowo (stwierdzony do pięciu razy)","","","","","","","","","","","","",""
"( )","–","status dawny (kategoria B)","","","","","","","","","","","","",""
"[ ]","–","pochodzenie niepewne (kategoria D)","","","","","","","","","","","","",""
"x","–","pojaw nienaturalny (kategoria E)","","","","","","","","","","","","",""
